state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Madhya Pradesh,Indore,Indore(F&V) APMC,Bottle gourd,Bottle Gourd,Local,18/04/2026,800.0,2500.0,1600.0
Madhya Pradesh,Badwani,Sendhwa APMC,Wheat,Wheat,FAQ,18/04/2026,2220.0,2435.0,2375.0
Madhya Pradesh,Badwani,Sendhwa APMC,Soyabean,Soyabeen,FAQ,18/04/2026,5275.0,5700.0,5400.0
Chattisgarh,Raipur,Neora APMC,Wheat,Medium,Non-FAQ,18/04/2026,2300.0,2300.0,2300.0
Chattisgarh,Durg,Durg APMC,Pomegranate,Pomogranate,Medium,18/04/2026,16000.0,18000.0,16000.0
Chattisgarh,Durg,Durg APMC,Bhindi(Ladies Finger),Bhindi,Medium,18/04/2026,2600.0,3000.0,2600.0
Chattisgarh,Durg,Durg APMC,Green Chilli,Green Chilly,Medium,18/04/2026,3500.0,4000.0,4000.0
Chattisgarh,Durg,Durg APMC,Chilly Capsicum,Chilly Capsicum,Medium,18/04/2026,3000.0,3100.0,3000.0
Chattisgarh,Durg,Durg APMC,Bottle gourd,Bottle Gourd,Local,18/04/2026,800.0,1000.0,1000.0
Chattisgarh,Durg,Durg APMC,Cowpea(Veg),Cowpea (Veg),Local,18/04/2026,1000.0,1200.0,1200.0
Chattisgarh,Durg,Durg APMC,Tomato,Local,Local,18/04/2026,600.0,700.0,700.0
Chattisgarh,Durg,Durg APMC,Banana,Banana - Ripe,Local,18/04/2026,1000.0,1200.0,1000.0
Chattisgarh,Durg,Durg APMC,Sweet Potato,Sweet Potato,Medium,18/04/2026,1800.0,2000.0,2000.0
Chattisgarh,Durg,Durg APMC,Cauliflower,Cauliflower,Medium,18/04/2026,2800.0,3000.0,2800.0
Uttar Pradesh,Jalaun (Orai),Orai APMC,Masur Dal,Other,FAQ,18/04/2026,6000.0,6000.0,6000.0
Karnataka,Bellary,Bellary APMC,Jowar(Sorghum),Local,Non-FAQ,18/04/2026,1599.0,3250.0,2658.0
Karnataka,Bellary,Bellary APMC,Green Gram(Moong)(Whole),Local (Whole),Non-FAQ,18/04/2026,7510.0,7520.0,7518.0
Karnataka,Bellary,Bellary APMC,Sunflower/Sunflower Seed,Sunflower,Non-FAQ,18/04/2026,5266.0,6006.0,5854.0
Uttar Pradesh,Aligarh,Aligarh APMC,Tomato,Other,FAQ,18/04/2026,1400.0,1450.0,1410.2
Madhya Pradesh,Shajapur,Kalapipal(F&V) APMC,Garlic,Garlic,FAQ,18/04/2026,2200.0,9200.0,6000.0
Uttar Pradesh,Bulandshahar,Anoop Shahar APMC,Wheat,Dara,FAQ,18/04/2026,2425.0,2425.0,2425.0
Madhya Pradesh,Hoshangabad,Pipariya(F&V) APMC,Pumpkin,Pumpkin,Local,18/04/2026,350.0,1000.0,700.0
Madhya Pradesh,Rewa,Rewa(F&V) APMC,Grapes,Green,Grade B,18/04/2026,4500.0,4500.0,4500.0
Madhya Pradesh,Rewa,Rewa(F&V) APMC,Mango,Dusheri,Grade B,18/04/2026,5800.0,5800.0,5800.0
Madhya Pradesh,Sehore,Sehore(F&V) APMC,Methi(Leaves),Methi,Grade Range-1,18/04/2026,2000.0,3000.0,2500.0
Madhya Pradesh,Sehore,Sehore(F&V) APMC,Lemon,Lemon,Grade Range-1,18/04/2026,10000.0,14000.0,12000.0
Madhya Pradesh,Sehore,Sehore(F&V) APMC,Beetroot,Beetroot,Grade Range-1,18/04/2026,1500.0,2500.0,2000.0
Madhya Pradesh,Sehore,Sehore(F&V) APMC,Tomato,Deshi,Grade Range-2,18/04/2026,500.0,800.0,600.0
Madhya Pradesh,Sehore,Sehore(F&V) APMC,Green Chilli,Green Chilly,Grade Range-1,18/04/2026,1500.0,3000.0,2500.0
Madhya Pradesh,Sehore,Sehore(F&V) APMC,Bottle gourd,Bottle Gourd,Grade Range-1,18/04/2026,800.0,1200.0,1000.0
Madhya Pradesh,Sheopur,Sheopurkalan(F&V) APMC,Papaya,Papaya,Medium,18/04/2026,2500.0,2800.0,2600.0
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Tinda,Tinda,Medium,18/04/2026,2500.0,2900.0,2700.0
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Cabbage,Cabbage,Medium,18/04/2026,800.0,1200.0,1000.0
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Grapes,Green,Medium,18/04/2026,9800.0,10100.0,10000.0
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Chikoos(Sapota),Sapota,Medium,18/04/2026,2300.0,2700.0,2500.0
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Orange,Orange,Medium,18/04/2026,12300.0,12700.0,12500.0
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Water Melon,Water Melon,Medium,18/04/2026,900.0,1300.0,1100.0
Uttar Pradesh,Aligarh,Atrauli APMC,Potato,Potato,FAQ,18/04/2026,500.0,600.0,550.0
Uttar Pradesh,Aligarh,Atrauli APMC,Maize,Other,FAQ,18/04/2026,1800.0,1800.0,1800.0
Assam,Kamrup,Fancy Bazaar APMC,Green Gram Dal(Moong Dal),Green gram,FAQ,18/04/2026,7000.0,12000.0,9000.0
Assam,Kamrup,Fancy Bazaar APMC,Turmeric(raw),Turmeric (raw),FAQ,18/04/2026,12000.0,17500.0,16500.0
Assam,Kamrup,Fancy Bazaar APMC,Cummin Seed(Jeera),Cummin Seed(Jeera),FAQ,18/04/2026,26100.0,31500.0,28800.0
Karnataka,Bidar,Bidar APMC,Black Gram(Urd Beans)(Whole),Black Gram (Whole),Non-FAQ,18/04/2026,3915.0,6025.0,5260.0
Uttar Pradesh,Ayodhya,Ayodhya APMC,Wood,Other,FAQ,18/04/2026,350.0,450.0,353.88
Uttar Pradesh,Ayodhya,Ayodhya APMC,Tomato,Other,FAQ,18/04/2026,800.0,800.0,800.0
Uttar Pradesh,Azamgarh,Azamgarh APMC,Rice,Common,FAQ,18/04/2026,2400.0,2700.0,2576.57
Uttar Pradesh,Badaun,Babrala APMC,Wheat,Other,FAQ,18/04/2026,2595.0,2595.0,2595.0
Gujarat,Sabarkantha,Himatnagar APMC,Maize,Yellow,Local,18/04/2026,1455.0,1955.0,1800.0
Gujarat,Sabarkantha,Himatnagar APMC,Wheat,Sonalika,Local,18/04/2026,2200.0,2770.0,2650.0
Gujarat,Sabarkantha,Himatnagar APMC,Mustard,Mustard,Non-FAQ,18/04/2026,5000.0,5950.0,5700.0
Gujarat,Sabarkantha,Himatnagar APMC,Bengal Gram(Gram)(Whole),Desi (Whole),Local,18/04/2026,5000.0,5325.0,5200.0
Gujarat,Sabarkantha,Himatnagar APMC,Kabuli Chana(Chickpeas-White),Dollar Gram-Organic,Local,18/04/2026,7255.0,7755.0,7550.0
Gujarat,Banaskanth,Palanpur APMC,Wheat,Deshi,Local,18/04/2026,2712.5,2712.5,2712.5
Gujarat,Banaskanth,Palanpur APMC,Black Gram(Urd Beans)(Whole),Desi,Local,18/04/2026,4840.0,4840.0,4840.0
Gujarat,Patan,Radhanpur APMC,Bengal Gram(Gram)(Whole),Other,Local,18/04/2026,4900.0,5225.0,5100.0
Gujarat,Patan,Radhanpur APMC,Cummin Seed(Jeera),Other,Local,18/04/2026,17200.0,22870.0,19750.0
Gujarat,Navsari,Bilimora APMC,Onion,Nasik,FAQ,18/04/2026,800.0,1700.0,1200.0
Gujarat,Sabarkantha,APMCKHEDBRAHMA,Maize,Hybrid,FAQ,18/04/2026,2300.0,2350.0,2325.0
Gujarat,Ahmedabad,Dholka APMC,Wheat,Lokwan Gujrat,Grade Range-2,18/04/2026,1900.0,2425.0,2425.0
Uttar Pradesh,Raebarelli,Bachranwa APMC,Paddy(Common),Common,FAQ,18/04/2026,2250.0,2480.0,2439.12
Uttar Pradesh,Raebarelli,Bachranwa APMC,Wheat,Dara,FAQ,18/04/2026,2425.0,2425.0,2425.0
Uttar Pradesh,Raebarelli,Bachranwa APMC,Wood,Eucalyptus,FAQ,18/04/2026,550.0,550.0,550.0
West Bengal,Nadia,Karimpur APMC,Wheat,Local,Grade Range-1,18/04/2026,2900.0,3100.0,3000.0
West Bengal,Nadia,Karimpur APMC,Green Chilli,Green Chilly,Grade A,18/04/2026,3500.0,4000.0,3700.0
West Bengal,Nadia,Karimpur APMC,Rice,Fine,Grade Range-1,18/04/2026,4900.0,5100.0,5000.0
Madhya Pradesh,Badwani,Sendhwa(F&V) APMC,Tinda,Tinda,Small,18/04/2026,1000.0,1300.0,1100.0
Madhya Pradesh,Badwani,Sendhwa(F&V) APMC,Brinjal,Round,Small,18/04/2026,1400.0,1900.0,1700.0
Madhya Pradesh,Badwani,Sendhwa(F&V) APMC,Bottle gourd,Bottle Gourd,Medium,18/04/2026,1000.0,1300.0,1200.0
Karnataka,Bijapur,Bijapur APMC,Wheat,Sona,Local,18/04/2026,2206.0,2345.0,2300.0
Karnataka,Bijapur,Bijapur APMC,Jowar(Sorghum),Jowar Hybrid,Local,18/04/2026,2927.0,2927.0,2927.0
Karnataka,Bijapur,Bijapur APMC,Cotton,LH-1556,Local,18/04/2026,6002.0,9100.0,8039.0
Karnataka,Bijapur,Bijapur APMC,Bajra(Pearl Millet/Cumbu),Hybrid,Local,18/04/2026,2143.0,2143.0,2143.0
Karnataka,Bijapur,Bijapur APMC,Safflower,Safflower,Local,18/04/2026,5188.0,5188.0,5188.0
Karnataka,Bijapur,Bijapur APMC,Dry Grapes,Dry Grapes,Local,18/04/2026,12000.0,38500.0,29800.0
Rajasthan,Baran,Kawai Salpura - Atru APMC,Wheat,Other,Local,18/04/2026,2180.0,2520.0,2350.0
Rajasthan,Baran,Kawai Salpura - Atru APMC,Bengal Gram(Gram)(Whole),Other,Local,18/04/2026,5070.0,5160.0,5115.0
Uttar Pradesh,Bahraich,Bahraich APMC,Wheat,2329,FAQ,18/04/2026,2430.0,2430.0,2430.0
Uttar Pradesh,Bahraich,Bahraich APMC,Wheat,Dara,FAQ,18/04/2026,2430.0,2450.0,2431.1
Gujarat,Patan,Siddhpur APMC,Soanf,Soanf,FAQ,18/04/2026,6900.0,8555.0,7727.0
Gujarat,Patan,Siddhpur APMC,Wheat,Hybrid,FAQ,18/04/2026,2055.0,3155.0,2605.0
Uttar Pradesh,Ballia,Ballia APMC,Rice,Broken Rice,FAQ,18/04/2026,2400.0,2400.0,2400.0
Uttar Pradesh,Ballia,Ballia APMC,Wood,Other,FAQ,18/04/2026,400.0,400.0,400.0
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur APMC",Fish,Pangass,Local,18/04/2026,7000.0,9000.0,8000.0
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur APMC",Fish,Sol,Local,18/04/2026,38000.0,48000.0,43500.0
Uttar Pradesh,Balrampur,Balrampur APMC,Wheat,Dara,FAQ,18/04/2026,2300.0,2600.0,2496.83
Uttar Pradesh,Balrampur,Balrampur APMC,Firewood,Firewood,FAQ,18/04/2026,500.0,500.0,500.0
Uttar Pradesh,Balrampur,Balrampur APMC,Wheat,Other,FAQ,18/04/2026,2350.0,2600.0,2443.04
Uttar Pradesh,Balrampur,Balrampur APMC,Rice,Common,FAQ,18/04/2026,2100.0,2350.0,2306.21
NCT of Delhi,Delhi,Azadpur APMC,Bhindi(Ladies Finger),Bhindi,FAQ,18/04/2026,2000.0,2800.0,2300.0
NCT of Delhi,Delhi,Azadpur APMC,Mint(Pudina),Mint(Pudina),FAQ,18/04/2026,1800.0,3000.0,2300.0
NCT of Delhi,Delhi,Azadpur APMC,Pomegranate,Pomogranate,Grade A,18/04/2026,1500.0,18000.0,6600.0
NCT of Delhi,Delhi,Azadpur APMC,Jamun(Narale Hannu),Other,Grade A,18/04/2026,20000.0,60000.0,40000.0
NCT of Delhi,Delhi,Azadpur APMC,Grapes,Green,Grade A,18/04/2026,5000.0,8500.0,7250.0
NCT of Delhi,Delhi,Azadpur APMC,Mango,Dusheri,Grade A,18/04/2026,3571.0,5714.0,4643.0
NCT of Delhi,Delhi,Azadpur APMC,Water Melon,Water Melon,Grade A,18/04/2026,1000.0,1500.0,1250.0
NCT of Delhi,Delhi,Azadpur APMC,Bitter gourd,Bitter Gourd,FAQ,18/04/2026,1500.0,3000.0,2500.0
NCT of Delhi,Delhi,Azadpur APMC,Pea Pod/Pea Cod/हरी मटर,Other,FAQ,18/04/2026,4000.0,8000.0,6000.0
NCT of Delhi,Delhi,Azadpur APMC,Sweet Pumpkin,Sweet Pumpkin,FAQ,18/04/2026,1000.0,1500.0,1200.0
NCT of Delhi,Delhi,Azadpur APMC,Indian Beans(Seam),Other,FAQ,18/04/2026,1500.0,2500.0,2000.0
NCT of Delhi,Delhi,Azadpur APMC,Turmeric(raw),Other,FAQ,18/04/2026,1500.0,2500.0,2200.0
NCT of Delhi,Delhi,"Flower Market,Gazipur APMC",Chrysanthemum,Other,FAQ,18/04/2026,20.0,40.0,30.0
NCT of Delhi,Delhi,"Flower Market,Gazipur APMC",Lilly,Other,FAQ,18/04/2026,200.0,300.0,250.0
NCT of Delhi,Delhi,"Flower Market,Gazipur APMC",Tube Rose(Single),Tube Rose (Single),FAQ,18/04/2026,20.0,40.0,30.0
Uttar Pradesh,Banda,Banda APMC,Brinjal,Round/Long,FAQ,18/04/2026,1350.0,1460.0,1410.0
Uttar Pradesh,Banda,Banda APMC,Wood,Other,FAQ,18/04/2026,500.0,500.0,500.0
Uttar Pradesh,Banda,Banda APMC,Firewood,Firewood,FAQ,18/04/2026,430.0,480.0,444.24
Uttar Pradesh,Unnao,Bangarmau APMC,Firewood,Firewood,FAQ,18/04/2026,370.0,480.0,403.33
Uttar Pradesh,Unnao,Bangarmau APMC,Wood,Other,FAQ,18/04/2026,425.0,835.0,533.34
Uttar Pradesh,Barabanki,Barabanki APMC,Green Chilli,Other,FAQ,18/04/2026,2200.0,2200.0,2200.0
Uttar Pradesh,Barabanki,Barabanki APMC,Potato,Other,FAQ,18/04/2026,500.0,550.0,500.48
Uttar Pradesh,Barabanki,Barabanki APMC,Wood,Other,FAQ,18/04/2026,500.0,600.0,514.25
Uttar Pradesh,Barabanki,Barabanki APMC,Paddy(Common),Common,FAQ,18/04/2026,2000.0,2000.0,2000.0
Uttar Pradesh,Bareilly,Bareilly APMC,Green Chilli,Other,FAQ,18/04/2026,2500.0,4000.0,2853.14
Uttar Pradesh,Bareilly,Bareilly APMC,Makhana(Foxnut),Other,FAQ,18/04/2026,30000.0,30000.0,30000.0
Uttar Pradesh,Bareilly,Bareilly APMC,Wheat,Dara Mill Quality,FAQ,18/04/2026,2303.0,2305.0,2304.25
Uttar Pradesh,Basti,Basti APMC,Wheat,Dara Mill Quality,FAQ,18/04/2026,2450.0,2450.0,2450.0
Uttar Pradesh,Hamirpur,Bharuasumerpur APMC,Firewood,Firewood,FAQ,18/04/2026,400.0,400.0,400.0
Uttar Pradesh,Hamirpur,Bharuasumerpur APMC,Wheat,Medium,FAQ,18/04/2026,2585.0,2586.0,2585.03
Uttar Pradesh,Badaun,Bilsi APMC,Black Gram Dal(Urd Dal),Other,FAQ,18/04/2026,8000.0,8000.0,8000.0
Uttar Pradesh,Badaun,Bilsi APMC,Green Chilli,Other,FAQ,18/04/2026,2000.0,2000.0,2000.0
Uttar Pradesh,Fatehpur,Bindki APMC,Paddy(Common),Paddy fine,FAQ,18/04/2026,2800.0,2800.0,2800.0
Uttar Pradesh,Fatehpur,Bindki APMC,Wheat,Other,FAQ,18/04/2026,2400.0,2500.0,2401.11
Uttar Pradesh,Pillibhit,Bishalpur APMC,Wheat,Medium,FAQ,18/04/2026,2300.0,2305.0,2301.73
Uttar Pradesh,Pillibhit,Bishalpur APMC,Rab/Liquid Jaggery/Molasses,Other,FAQ,18/04/2026,3000.0,3000.0,3000.0
Uttar Pradesh,Pillibhit,Bishalpur APMC,Wood,Other,FAQ,18/04/2026,600.0,600.0,600.0
Uttar Pradesh,Sitapur,Viswan APMC,Wood,Other,FAQ,18/04/2026,450.0,970.0,592.87
Uttar Pradesh,Chandauli,Chandoli APMC,Wheat,Dara,FAQ,18/04/2026,2585.0,2585.0,2585.0
Uttar Pradesh,Sambhal,Chandausi APMC,Black Gram Dal(Urd Dal),Other,FAQ,18/04/2026,7300.0,7300.0,7300.0
Uttar Pradesh,Sambhal,Chandausi APMC,Tomato,Other,FAQ,18/04/2026,1000.0,1105.0,1042.84
Uttar Pradesh,Aligarh,Charra APMC,Pumpkin,Pumpkin,FAQ,18/04/2026,800.0,900.0,850.0
Uttar Pradesh,Aligarh,Charra APMC,Cabbage,Cabbage,FAQ,18/04/2026,800.0,850.0,825.0
Uttar Pradesh,Aligarh,Charra APMC,Potato,Desi,FAQ,18/04/2026,700.0,800.0,750.0
Uttar Pradesh,Aligarh,Charra APMC,Chicory(Chikori/Kasni),Other,FAQ,18/04/2026,2700.0,2700.0,2700.0
Uttar Pradesh,Kannuj,Chhibramau APMC,Rice,Common,FAQ,18/04/2026,2600.0,2600.0,2600.0
Uttar Pradesh,Kannuj,Chhibramau APMC,Wheat,Hybrid,FAQ,18/04/2026,2585.0,2585.0,2585.0
Uttar Pradesh,Saharanpur,Chutmalpur APMC,Bitter gourd,Bitter Gourd,Medium,18/04/2026,1200.0,1400.0,1300.0
Uttar Pradesh,Saharanpur,Chutmalpur APMC,Bottle gourd,Bottle Gourd,Local,18/04/2026,700.0,900.0,800.0
Uttar Pradesh,Saharanpur,Chutmalpur APMC,Tomato,Hybrid,Local,18/04/2026,1550.0,1750.0,1650.0
Uttar Pradesh,Saharanpur,Chutmalpur APMC,Spinach,Spinach,Local,18/04/2026,1100.0,1300.0,1200.0
Uttar Pradesh,Saharanpur,Chutmalpur APMC,Water Melon,Water Melon,Local,18/04/2026,1200.0,1700.0,1300.0
Uttar Pradesh,Saharanpur,Chutmalpur APMC,Capsicum,Other,FAQ,18/04/2026,1400.0,1400.0,1400.0
Uttar Pradesh,Jhansi,Chirgaon APMC,Wood,Other,FAQ,18/04/2026,580.0,580.0,580.0
Uttar Pradesh,Gautam Budh Nagar,Dadri APMC,Wheat,Dara,FAQ,18/04/2026,2590.0,2610.0,2598.29
Uttar Pradesh,Bulandshahar,Divai APMC,Wheat,Sharbati,FAQ,18/04/2026,2450.0,2450.0,2450.0
Uttar Pradesh,Bulandshahar,Divai APMC,Maize,Other,FAQ,18/04/2026,2000.0,2000.0,2000.0
Uttar Pradesh,Bulandshahar,Divai APMC,Wheat,Medium,FAQ,18/04/2026,2460.0,2460.0,2460.0
Uttar Pradesh,Gonda,Colonelganj APMC,Firewood,Firewood,FAQ,18/04/2026,250.0,250.0,250.0
Uttar Pradesh,Mau(Maunathbhanjan),Doharighat APMC,Lemon,Lemon,FAQ,18/04/2026,6000.0,6000.0,6000.0
Maharashtra,Ahmednagar,Rahuri(Vambori) APMC,Wheat,Other,Non-FAQ,18/04/2026,2131.0,2475.0,2178.0
Maharashtra,Ahmednagar,Rahuri(Vambori) APMC,Bengal Gram(Gram)(Whole),Other,Non-FAQ,18/04/2026,5030.0,5030.0,5030.0
Maharashtra,Ahmednagar,Rahuri(Vambori) APMC,Onion,Other,Local,18/04/2026,100.0,1300.0,900.0
Maharashtra,Ahmednagar,Shevgaon(Bodhegaon) APMC,Wheat,Maharashtra 2189,Non-FAQ,18/04/2026,2100.0,2200.0,2100.0
Maharashtra,Ahmednagar,Shevgaon(Bodhegaon) APMC,Jowar(Sorghum),Other,Non-FAQ,18/04/2026,2000.0,2400.0,2400.0
Maharashtra,Akola,Akola APMC,Soyabean,Yellow,FAQ,18/04/2026,5350.0,5640.0,5565.0
Maharashtra,Akola,Murtizapur APMC,Soyabean,Yellow,FAQ,18/04/2026,5330.0,5605.0,5470.0
Maharashtra,Amarawati,Amarawati APMC,Soyabean,Other,Local,18/04/2026,4900.0,5425.0,5162.0
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market) APMC,Mango,Other,Local,18/04/2026,5000.0,6000.0,5500.0
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market) APMC,Tomato,Local,Local,18/04/2026,1000.0,1500.0,1250.0
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar APMC,Bengal Gram(Gram)(Whole),Other,Non-FAQ,18/04/2026,4600.0,5150.0,4875.0
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar APMC,Grapes,Other,Local,18/04/2026,5500.0,11000.0,8250.0
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar APMC,Bottle gourd,Other,Local,18/04/2026,600.0,900.0,750.0
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar APMC,Onion,Other,Local,18/04/2026,450.0,975.0,713.0
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar APMC,Coriander(Leaves),Other,Local,18/04/2026,500.0,800.0,650.0
Maharashtra,Chattrapati Sambhajinagar,Paithan APMC,Jowar(Sorghum),Red,Local,18/04/2026,2500.0,2500.0,2500.0
Uttar Pradesh,Etah,Etah APMC,Tomato,Other,FAQ,18/04/2026,800.0,800.0,800.0
Uttar Pradesh,Etah,Etah APMC,Garlic,Other,FAQ,18/04/2026,5000.0,5000.0,5000.0
Maharashtra,Beed,Majalgaon APMC,Arhar(Tur/Red Gram)(Whole),Other,Non-FAQ,18/04/2026,6500.0,7325.0,7200.0
Maharashtra,Buldhana,Malkapur APMC,Wheat,Other,Non-FAQ,18/04/2026,2125.0,2250.0,2200.0
Maharashtra,Buldhana,Malkapur APMC,Bengal Gram(Gram)(Whole),Average (Whole),Non-FAQ,18/04/2026,4250.0,5290.0,5000.0
Maharashtra,Chandrapur,Brahmpuri APMC,Paddy(Common),Other,FAQ,18/04/2026,2500.0,2800.0,2650.0
Maharashtra,Chandrapur,Chandrapur APMC,Chili Red,Other,Local,18/04/2026,10000.0,23000.0,18000.0
Maharashtra,Chandrapur,Chandrapur(Ganjwad) APMC,Cauliflower,Other,Local,18/04/2026,600.0,1000.0,800.0
Maharashtra,Chandrapur,Chandrapur(Ganjwad) APMC,Carrot,Other,Local,18/04/2026,1000.0,2000.0,1500.0
Maharashtra,Chandrapur,Chandrapur(Ganjwad) APMC,Coriander(Leaves),Other,Local,18/04/2026,2000.0,4000.0,3000.0
Maharashtra,Chandrapur,Chandrapur(Ganjwad) APMC,Chilly Capsicum,Other,Local,18/04/2026,2000.0,3000.0,2500.0
Maharashtra,Dhule,Dhule APMC,Bengal Gram(Gram)(Whole),Other,Non-FAQ,18/04/2026,4000.0,5075.0,4780.0
Maharashtra,Dhule,Dhule APMC,Soyabean,Other,Local,18/04/2026,4805.0,4805.0,4805.0
Maharashtra,Dhule,Shirpur APMC,Jowar(Sorghum),Other,Non-FAQ,18/04/2026,2162.0,2415.0,2231.0
Maharashtra,Dhule,Shirpur APMC,Cowpea(Lobia/Karamani),Other,Local,18/04/2026,5900.0,5900.0,5900.0
Maharashtra,Dhule,Shirpur APMC,Bengal Gram(Gram)(Whole),Kabul Small,Non-FAQ,18/04/2026,4514.0,5000.0,5000.0
Rajasthan,Chittorgarh,Begu APMC,Maize,Other,Local,18/04/2026,1825.0,1825.0,1825.0
Maharashtra,Gondiya,Tiroda APMC,Paddy(Common),Other,FAQ,18/04/2026,2500.0,2580.0,2540.0
Maharashtra,Jalana,Bhokardan APMC,Maize,Yellow,Non-FAQ,18/04/2026,1650.0,1750.0,1700.0
Maharashtra,Jalana,Jalana APMC,Jowar(Sorghum),Other,Local,18/04/2026,2000.0,4800.0,3550.0
Maharashtra,Jalana,Jalana APMC,Bengal Gram(Gram)(Whole),Other,Non-FAQ,18/04/2026,5100.0,5390.0,5325.0
Maharashtra,Jalana,Partur APMC,Wheat,Maharashtra 2189,Non-FAQ,18/04/2026,2075.0,2300.0,2146.0
Maharashtra,Jalgaon,Bhusaval APMC,Beetroot,Other,Local,18/04/2026,1000.0,1000.0,1000.0
Maharashtra,Jalgaon,Bhusaval APMC,Guar,Other,Local,18/04/2026,5000.0,5000.0,5000.0
Maharashtra,Jalgaon,Bhusaval APMC,Onion,Other,Local,18/04/2026,500.0,1000.0,800.0
Maharashtra,Jalgaon,Bhusaval APMC,Cabbage,Other,Local,18/04/2026,500.0,1000.0,800.0
Maharashtra,Jalgaon,Bhusaval APMC,Coriander(Leaves),Other,Local,18/04/2026,1500.0,2000.0,1800.0
Maharashtra,Jalgaon,Bhusaval APMC,Tomato,Other,Local,18/04/2026,1000.0,1500.0,1200.0
Maharashtra,Jalgaon,Jalgaon APMC,Pomegranate,Other,Local,18/04/2026,7000.0,17000.0,12000.0
Maharashtra,Jalgaon,Jalgaon APMC,Beetroot,Other,Local,18/04/2026,1500.0,1500.0,1500.0
Maharashtra,Jalgaon,Jalgaon APMC,Bhindi(Ladies Finger),Other,Local,18/04/2026,1000.0,2000.0,1500.0
Maharashtra,Jalgaon,Jalgaon APMC,Mango(Raw-Ripe),Other,Local,18/04/2026,1200.0,1800.0,1500.0
Maharashtra,Jalgaon,Jalgaon APMC,Cucumbar(Kheera),Other,Local,18/04/2026,500.0,1000.0,700.0
Maharashtra,Jalgaon,Jalgaon APMC,Onion,Red,Local,18/04/2026,325.0,762.0,537.0
