state,district,market,commodity,arrival_date,min_price,max_price,modal_price,demand_label
Andhra Pradesh,East Godavari,Rajahmundry,Sugarcane,2025-01-14,1580.75,2188.46,1953.57,Medium
Andhra Pradesh,Kurnool,Kurnool,Onion,2024-09-19,304.15,494.35,394.28,Low
Andhra Pradesh,Guntur,Guntur,Cotton,2024-12-19,3194.82,5821.75,4448.44,High
Andhra Pradesh,Kurnool,Kurnool,Maize,2026-04-18,1315.41,2289.52,1701.95,Medium
Andhra Pradesh,East Godavari,Rajahmundry,Banana,2025-10-13,2135.35,3636.86,2604.63,Medium
Andhra Pradesh,Chittoor,Tirupati,Sugarcane,2023-08-17,867.25,1349.98,1031.89,Low
Andhra Pradesh,Kurnool,Kurnool,Tomato,2023-10-16,1613.41,2591.83,1983.28,Low
Andhra Pradesh,Nellore,Nellore,Maize,2023-08-17,899.84,1394.2,1084.39,High
Andhra Pradesh,Nellore,Nellore,Cotton,2026-02-14,4042.43,5728.09,4941.67,Medium
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Chilli,2025-04-21,3659.96,5036.55,4072.52,Medium
Andhra Pradesh,Nellore,Nellore,Rice,2025-07-06,1785.61,3103.89,2235.46,Medium
Andhra Pradesh,Chittoor,Tirupati,Chilli,2025-03-30,3342.43,5931.3,4493.48,Medium
Andhra Pradesh,Guntur,Guntur,Cotton,2023-07-14,1992.84,3524.25,2556.12,Medium
Andhra Pradesh,East Godavari,Rajahmundry,Cotton,2023-08-20,1104.15,1639.67,1482.04,Medium
Andhra Pradesh,Nellore,Nellore,Groundnut,2025-05-24,3377.04,5072.16,4056.69,Medium
Andhra Pradesh,Chittoor,Tirupati,Tomato,2025-01-08,2444.55,3139.43,2718.03,Medium
Andhra Pradesh,Kurnool,Kurnool,Maize,2025-02-12,2522.23,3622.36,3124.47,Low
Andhra Pradesh,Prakasam,Ongole,Wheat,2024-01-11,592.13,872.88,726.34,Medium
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Rice,2025-12-31,3299.37,5706.66,4666.98,Medium
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Cotton,2025-08-30,2804.98,4142.41,3500.76,Medium
Andhra Pradesh,Guntur,Guntur,Maize,2024-03-09,1427.59,2620.51,1946.26,Medium
Andhra Pradesh,Krishna,Vijayawada,Rice,2023-09-06,3904.91,6878.91,4948.54,Medium
Andhra Pradesh,Guntur,Guntur,Sugarcane,2024-09-26,996.51,1323.26,1160.9,Low
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Wheat,2023-06-03,4433.38,6194.4,5601.54,Medium
Andhra Pradesh,East Godavari,Rajahmundry,Sugarcane,2025-08-02,1854.78,2386.08,2093.26,Low
Andhra Pradesh,East Godavari,Rajahmundry,Potato,2025-10-10,432.36,783.88,602.64,Medium
Andhra Pradesh,Nellore,Nellore,Turmeric,2025-03-31,2236.36,3565.47,3051.48,Medium
Andhra Pradesh,Chittoor,Tirupati,Groundnut,2024-03-25,815.11,1260.84,955.96,Low
Andhra Pradesh,Prakasam,Ongole,Sugarcane,2024-03-15,3154.42,5260.98,4204.67,High
Andhra Pradesh,Nellore,Nellore,Cotton,2025-10-15,1890.48,3501.03,2504.26,Medium
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Groundnut,2024-02-05,1881.85,2456.55,2226.02,Medium
Andhra Pradesh,Kurnool,Kurnool,Groundnut,2024-02-20,2391.29,3868.62,2842.33,Medium
Andhra Pradesh,Prakasam,Ongole,Banana,2026-03-07,2085.02,3380.28,2705.05,Medium
Andhra Pradesh,Chittoor,Tirupati,Mango,2024-12-19,1756.33,2934.13,2348.34,Medium
Andhra Pradesh,Kurnool,Kurnool,Tomato,2025-12-14,3998.27,6141.14,4506.16,Medium
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Chilli,2024-03-18,3237.09,4392.89,3954.79,Medium
Andhra Pradesh,Kurnool,Kurnool,Sugarcane,2023-07-12,1000.28,1595.91,1364.64,Medium
Andhra Pradesh,Chittoor,Tirupati,Sugarcane,2026-03-24,1269.23,1932.27,1478.1,High
Andhra Pradesh,Kurnool,Kurnool,Mango,2024-08-21,1683.01,2814.52,2108.48,Medium
Andhra Pradesh,Chittoor,Tirupati,Chilli,2023-10-01,668.68,1051.91,897.46,Medium
Andhra Pradesh,Guntur,Guntur,Sugarcane,2023-07-27,1106.82,1658.89,1447.43,Medium
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Tomato,2025-10-26,2352.53,4405.84,3350.92,Low
Andhra Pradesh,Kurnool,Kurnool,Onion,2025-11-03,2080.4,3098.63,2603.91,Low
Andhra Pradesh,Krishna,Vijayawada,Mango,2024-06-21,3228.96,4294.08,3845.93,High
Andhra Pradesh,Guntur,Guntur,Onion,2023-09-08,572.56,858.66,657.46,Low
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Onion,2024-09-18,1937.67,3170.39,2684.18,Low
Andhra Pradesh,Nellore,Nellore,Chilli,2025-01-22,5592.84,7387.86,6430.52,High
Andhra Pradesh,Nellore,Nellore,Cotton,2024-03-18,3276.07,5452.71,4143.25,Medium
Andhra Pradesh,Krishna,Vijayawada,Banana,2024-11-27,484.84,946.4,685.87,Medium
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Rice,2025-01-21,4366.0,6849.68,5145.79,Medium
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Onion,2023-04-29,3982.85,5738.08,5079.47,High
Andhra Pradesh,Krishna,Vijayawada,Chilli,2023-08-06,1318.93,2503.71,1814.56,Low
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Tomato,2024-05-22,1314.2,1762.91,1529.59,Medium
Andhra Pradesh,Kurnool,Kurnool,Onion,2025-01-02,1276.1,2017.6,1728.2,Medium
Andhra Pradesh,Guntur,Guntur,Mango,2025-12-24,3593.9,5698.95,4129.21,Medium
Andhra Pradesh,Chittoor,Tirupati,Chilli,2024-02-14,4717.03,7374.63,6503.2,High
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Maize,2025-08-05,2488.28,4060.89,2960.15,High
Andhra Pradesh,Prakasam,Ongole,Groundnut,2025-11-16,2038.03,3568.49,2879.34,Medium
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Rice,2023-07-08,2457.74,4348.19,3493.03,Medium
Andhra Pradesh,Nellore,Nellore,Tomato,2025-07-31,2912.2,4237.48,3837.27,Medium
Andhra Pradesh,Guntur,Guntur,Banana,2024-01-24,337.31,427.42,388.08,Low
Andhra Pradesh,Guntur,Guntur,Wheat,2023-11-05,1044.13,1445.07,1174.61,Low
Andhra Pradesh,Kurnool,Kurnool,Groundnut,2023-12-29,1849.78,3108.86,2259.22,Medium
Andhra Pradesh,Kurnool,Kurnool,Potato,2025-06-09,2404.75,3628.31,2683.72,Low
Andhra Pradesh,Prakasam,Ongole,Groundnut,2024-06-11,1711.14,2216.24,2000.74,Medium
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Onion,2023-09-08,3437.57,4391.81,3821.51,Low
Andhra Pradesh,East Godavari,Rajahmundry,Cotton,2025-08-15,1043.28,1811.14,1381.74,Medium
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Rice,2024-10-03,1241.55,1975.21,1599.95,High
Andhra Pradesh,Krishna,Vijayawada,Wheat,2025-10-20,2568.42,4584.63,3288.65,Low
Andhra Pradesh,Krishna,Vijayawada,Sugarcane,2025-04-25,2088.84,3531.64,2810.74,Medium
Andhra Pradesh,Kurnool,Kurnool,Turmeric,2025-02-21,1898.35,3100.65,2281.1,High
Andhra Pradesh,Kurnool,Kurnool,Sugarcane,2025-09-23,467.61,800.89,596.13,Low
Andhra Pradesh,East Godavari,Rajahmundry,Rice,2024-08-24,3087.88,4941.47,4128.02,Medium
Andhra Pradesh,Guntur,Guntur,Cotton,2023-06-23,2057.01,2949.38,2554.83,Low
Andhra Pradesh,Kurnool,Kurnool,Chilli,2025-01-04,2682.9,3917.65,3439.22,High
Andhra Pradesh,Kurnool,Kurnool,Maize,2025-12-10,2446.3,3722.54,3269.76,Medium
Andhra Pradesh,Nellore,Nellore,Chilli,2024-08-19,2013.14,3196.99,2813.05,Low
Andhra Pradesh,Nellore,Nellore,Onion,2025-09-29,1783.43,3313.11,2407.99,Low
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Banana,2024-12-31,2245.83,3575.41,2790.08,Medium
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Tomato,2024-01-20,1355.34,2054.08,1729.38,Medium
Andhra Pradesh,Kurnool,Kurnool,Tomato,2023-08-01,2000.82,3605.53,2718.87,Low
Andhra Pradesh,Nellore,Nellore,Potato,2025-08-12,3445.78,4493.31,3966.28,Medium
Andhra Pradesh,Chittoor,Tirupati,Chilli,2024-03-20,2062.5,3722.17,2690.32,Medium
Andhra Pradesh,Chittoor,Tirupati,Sugarcane,2023-04-23,3392.57,5171.51,3945.63,Medium
Andhra Pradesh,Prakasam,Ongole,Turmeric,2025-07-17,3062.22,3894.72,3441.02,Low
Andhra Pradesh,Chittoor,Tirupati,Tomato,2023-06-10,3110.45,4727.8,3534.39,Medium
Andhra Pradesh,East Godavari,Rajahmundry,Chilli,2026-04-17,2082.17,2745.91,2426.94,Medium
Andhra Pradesh,Guntur,Guntur,Rice,2023-12-11,1238.97,1958.1,1638.01,Medium
Andhra Pradesh,Prakasam,Ongole,Mango,2024-09-30,3577.52,5241.8,4373.19,Medium
Andhra Pradesh,Chittoor,Tirupati,Turmeric,2025-10-16,1912.68,2736.58,2332.94,Medium
Andhra Pradesh,East Godavari,Rajahmundry,Mango,2024-04-09,783.0,1139.19,1033.46,Medium
Andhra Pradesh,Chittoor,Tirupati,Turmeric,2024-11-02,2313.28,4136.67,3193.54,Medium
Andhra Pradesh,Nellore,Nellore,Maize,2024-10-27,2536.39,4916.2,3594.74,Medium
Andhra Pradesh,Chittoor,Tirupati,Tomato,2024-11-06,4526.1,7341.74,5421.99,Medium
Andhra Pradesh,Krishna,Vijayawada,Tomato,2024-11-11,3702.87,6187.31,4672.35,Medium
Andhra Pradesh,Guntur,Guntur,Chilli,2025-06-24,4247.66,7957.72,5744.29,Medium
Andhra Pradesh,Nellore,Nellore,Cotton,2025-05-04,1350.74,2005.46,1502.25,Low
Andhra Pradesh,Nellore,Nellore,Wheat,2025-05-02,3529.06,5193.49,4258.42,High
Andhra Pradesh,Chittoor,Tirupati,Mango,2025-07-10,1724.58,2981.58,2405.53,Medium
Andhra Pradesh,Prakasam,Ongole,Groundnut,2023-11-20,1006.22,1395.59,1127.72,Medium
Andhra Pradesh,Prakasam,Ongole,Cotton,2024-09-26,3359.37,5045.09,3811.14,Medium
Andhra Pradesh,Prakasam,Ongole,Tomato,2025-03-25,1462.37,2378.82,1942.57,High
Andhra Pradesh,Guntur,Guntur,Onion,2025-12-09,4032.76,7378.59,5644.53,Medium
Andhra Pradesh,Prakasam,Ongole,Maize,2023-05-01,2123.86,2802.1,2417.32,Medium
Andhra Pradesh,Guntur,Guntur,Tomato,2024-01-14,3115.46,4693.13,3624.07,Medium
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Rice,2024-05-22,1265.78,2019.27,1607.63,Low
Andhra Pradesh,Guntur,Guntur,Chilli,2024-09-06,1255.5,1888.31,1431.0,Medium
Andhra Pradesh,Krishna,Vijayawada,Potato,2025-01-12,1639.84,2129.33,1834.82,High
Andhra Pradesh,Kurnool,Kurnool,Tomato,2024-10-07,2534.0,3997.15,3069.32,Low
Andhra Pradesh,Chittoor,Tirupati,Maize,2026-02-14,3105.64,5093.36,3650.7,Low
Andhra Pradesh,Chittoor,Tirupati,Banana,2025-10-20,3410.68,4917.57,4292.35,Medium
Andhra Pradesh,Kurnool,Kurnool,Cotton,2026-03-25,3741.3,6438.31,5146.47,Medium
Andhra Pradesh,Prakasam,Ongole,Maize,2025-01-13,2495.13,3429.91,2935.64,Low
Andhra Pradesh,Kurnool,Kurnool,Cotton,2025-10-15,1927.67,3310.87,2543.58,Medium
Andhra Pradesh,Krishna,Vijayawada,Chilli,2024-02-02,2437.5,4098.32,3220.32,High
Andhra Pradesh,Kurnool,Kurnool,Onion,2024-02-21,1077.5,1463.22,1201.59,Medium
Andhra Pradesh,Chittoor,Tirupati,Groundnut,2025-10-26,2622.39,3953.47,3366.32,High
Andhra Pradesh,Guntur,Guntur,Onion,2024-04-20,5345.72,9706.24,7474.75,High
Andhra Pradesh,Guntur,Guntur,Onion,2024-09-05,1166.17,2173.95,1585.23,Low
Andhra Pradesh,Chittoor,Tirupati,Sugarcane,2024-10-29,4045.27,6290.3,4646.33,Medium
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Onion,2024-07-02,4279.62,7242.93,5269.85,Medium
Andhra Pradesh,East Godavari,Rajahmundry,Chilli,2023-10-02,2085.64,3283.17,2702.18,Medium
Andhra Pradesh,Guntur,Guntur,Onion,2024-01-10,4357.78,7255.06,5259.94,Medium
Andhra Pradesh,Guntur,Guntur,Mango,2023-11-01,2142.41,3806.97,3057.06,Low
Andhra Pradesh,Nellore,Nellore,Onion,2024-11-30,1225.17,1946.1,1636.25,Low
Andhra Pradesh,Prakasam,Ongole,Tomato,2025-04-15,1845.78,2544.65,2069.95,High
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Chilli,2024-09-06,3579.6,4859.5,4209.79,Medium
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Potato,2025-04-04,4484.15,7201.44,5442.53,Medium
Andhra Pradesh,Chittoor,Tirupati,Maize,2024-02-20,2599.41,3977.34,2955.01,Low
Andhra Pradesh,Kurnool,Kurnool,Turmeric,2023-05-19,1303.39,1902.58,1578.12,Medium
Andhra Pradesh,Nellore,Nellore,Onion,2024-06-10,1182.22,1979.5,1421.41,Medium
Andhra Pradesh,East Godavari,Rajahmundry,Chilli,2024-11-11,475.08,874.81,648.45,Medium
Andhra Pradesh,Nellore,Nellore,Potato,2023-12-18,4964.26,7676.15,5891.03,High
Andhra Pradesh,Nellore,Nellore,Potato,2025-09-12,2551.66,4627.95,3536.15,Medium
Andhra Pradesh,East Godavari,Rajahmundry,Banana,2023-04-29,2918.6,4840.77,3654.42,Medium
Andhra Pradesh,Krishna,Vijayawada,Sugarcane,2024-10-27,1646.27,2294.04,1880.97,Medium
Andhra Pradesh,Nellore,Nellore,Chilli,2026-02-09,3299.53,5192.46,4101.62,High
Andhra Pradesh,Nellore,Nellore,Onion,2024-07-15,790.65,1075.33,924.84,Medium
Andhra Pradesh,Prakasam,Ongole,Rice,2024-10-08,4229.15,7210.92,5997.54,High
Andhra Pradesh,Krishna,Vijayawada,Sugarcane,2025-08-10,2728.76,5372.19,3844.71,Low
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Chilli,2024-12-11,3334.22,5521.1,4409.47,Medium
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Groundnut,2024-01-05,2140.32,3446.16,2606.04,Medium
Andhra Pradesh,Nellore,Nellore,Banana,2026-01-19,1820.19,2818.89,2276.15,Low
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Maize,2023-05-02,3120.37,4920.96,3690.73,Medium
Andhra Pradesh,Krishna,Vijayawada,Sugarcane,2023-11-25,1387.53,2481.05,1969.65,Medium
Andhra Pradesh,Nellore,Nellore,Potato,2025-07-23,1664.16,3164.2,2307.59,Low
Andhra Pradesh,Nellore,Nellore,Tomato,2023-10-20,979.67,1686.01,1260.55,Low
Andhra Pradesh,Nellore,Nellore,Mango,2024-07-26,3069.65,5025.12,3872.45,Medium
Andhra Pradesh,Prakasam,Ongole,Banana,2026-01-16,407.11,513.47,460.71,Low
Andhra Pradesh,Kurnool,Kurnool,Potato,2024-08-28,1369.66,2139.81,1655.1,Medium
Andhra Pradesh,Kurnool,Kurnool,Onion,2026-02-25,3099.83,4458.97,3625.4,Medium
Andhra Pradesh,Chittoor,Tirupati,Maize,2024-06-25,3142.35,5138.62,4105.81,Medium
Andhra Pradesh,Krishna,Vijayawada,Maize,2024-10-25,2242.59,3757.09,3148.49,Medium
Andhra Pradesh,Krishna,Vijayawada,Sugarcane,2024-02-11,1092.49,1495.72,1266.84,High
Andhra Pradesh,Nellore,Nellore,Chilli,2025-04-09,2197.91,3010.61,2539.76,Medium
Andhra Pradesh,Kurnool,Kurnool,Maize,2024-12-27,3031.76,4700.84,3810.53,Medium
Andhra Pradesh,Prakasam,Ongole,Banana,2025-10-27,2284.95,4267.74,3201.69,Medium
Andhra Pradesh,Krishna,Vijayawada,Mango,2025-08-29,3605.3,5700.53,4449.5,Medium
Andhra Pradesh,Chittoor,Tirupati,Groundnut,2025-02-10,1351.0,2060.73,1612.26,Medium
Andhra Pradesh,Kurnool,Kurnool,Maize,2024-05-11,3286.85,4990.42,4011.94,Medium
Andhra Pradesh,Chittoor,Tirupati,Maize,2024-06-23,1450.49,2446.29,2037.76,Medium
Andhra Pradesh,Guntur,Guntur,Turmeric,2025-12-10,2413.27,3472.08,2911.95,Medium
Andhra Pradesh,East Godavari,Rajahmundry,Turmeric,2023-05-31,3340.81,5156.87,4636.58,Medium
Andhra Pradesh,Krishna,Vijayawada,Maize,2026-01-17,758.23,1159.81,975.69,Low
Andhra Pradesh,Nellore,Nellore,Turmeric,2023-10-24,2953.09,3785.11,3376.98,Medium
Andhra Pradesh,East Godavari,Rajahmundry,Chilli,2024-11-28,3046.05,4641.76,3767.46,Medium
Andhra Pradesh,Nellore,Nellore,Turmeric,2025-06-17,1038.8,1343.52,1159.88,Medium
Andhra Pradesh,Guntur,Guntur,Groundnut,2023-08-18,4029.69,6688.27,5029.07,Medium
Andhra Pradesh,Nellore,Nellore,Maize,2025-10-05,2072.96,3140.82,2321.21,Medium
Andhra Pradesh,Chittoor,Tirupati,Cotton,2025-02-26,3817.08,6301.07,5348.09,Medium
Andhra Pradesh,East Godavari,Rajahmundry,Turmeric,2023-05-27,4325.28,6688.1,5147.94,Medium
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Cotton,2023-07-05,1919.16,3568.68,2578.36,Medium
Andhra Pradesh,Guntur,Guntur,Sugarcane,2025-01-10,788.75,1333.52,1073.99,Medium
Andhra Pradesh,Krishna,Vijayawada,Chilli,2025-10-08,2285.92,3462.59,2961.72,Medium
Andhra Pradesh,Krishna,Vijayawada,Potato,2025-10-29,1590.18,2237.54,1918.17,Medium
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Maize,2023-10-14,4027.46,6973.47,5055.52,Medium
Andhra Pradesh,Kurnool,Kurnool,Wheat,2024-12-22,3740.02,4806.9,4365.87,Medium
Andhra Pradesh,Nellore,Nellore,Tomato,2023-05-19,4665.52,6605.0,5444.74,Medium
Andhra Pradesh,Nellore,Nellore,Rice,2025-06-08,3472.15,4848.16,3964.13,Medium
Andhra Pradesh,Nellore,Nellore,Groundnut,2025-06-13,2995.97,5794.83,4212.88,Medium
Andhra Pradesh,Nellore,Nellore,Wheat,2024-06-06,2120.26,3738.12,2831.8,Medium
Andhra Pradesh,Chittoor,Tirupati,Chilli,2024-01-18,1062.82,2115.97,1517.94,High
Andhra Pradesh,Kurnool,Kurnool,Groundnut,2024-02-11,3034.05,4437.7,3379.8,Medium
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Tomato,2025-04-23,1640.78,2604.78,2128.17,High
Andhra Pradesh,Guntur,Guntur,Tomato,2023-10-05,419.87,593.9,468.82,Low
Andhra Pradesh,East Godavari,Rajahmundry,Potato,2024-06-29,2131.7,4067.83,3002.68,Low
Andhra Pradesh,Kurnool,Kurnool,Banana,2023-12-24,3505.51,4858.94,4149.76,Medium
Andhra Pradesh,Kurnool,Kurnool,Wheat,2024-04-16,1664.28,2939.23,2345.84,High
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Wheat,2023-12-20,2292.22,3284.14,2740.5,Medium
Andhra Pradesh,Guntur,Guntur,Onion,2024-08-07,2649.57,4435.15,3277.94,Medium
Andhra Pradesh,East Godavari,Rajahmundry,Chilli,2023-12-16,889.28,1249.9,1046.49,Medium
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Rice,2025-10-24,3205.09,6195.53,4464.38,High
Andhra Pradesh,Nellore,Nellore,Turmeric,2024-10-10,3690.7,5744.61,4531.64,Medium
Andhra Pradesh,Guntur,Guntur,Sugarcane,2024-10-12,848.32,1538.59,1120.17,Medium
Andhra Pradesh,Guntur,Guntur,Wheat,2023-12-24,4190.68,6646.46,5043.11,Medium
Andhra Pradesh,East Godavari,Rajahmundry,Mango,2024-11-27,2042.13,3344.25,2461.0,Low
Andhra Pradesh,Chittoor,Tirupati,Maize,2025-12-21,2870.23,4246.52,3761.98,Medium
Andhra Pradesh,East Godavari,Rajahmundry,Cotton,2026-04-15,2667.78,3601.63,3095.45,Medium
Andhra Pradesh,East Godavari,Rajahmundry,Cotton,2025-04-27,2071.16,2961.72,2482.57,Medium
Andhra Pradesh,Kurnool,Kurnool,Chilli,2025-11-04,1156.28,1538.49,1315.65,Medium
Andhra Pradesh,Guntur,Guntur,Sugarcane,2024-07-20,1993.13,3452.37,2613.95,Medium
Andhra Pradesh,Kurnool,Kurnool,Tomato,2024-06-03,2587.88,3796.58,3076.86,Medium
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Wheat,2026-01-28,3033.88,4434.7,3997.32,Medium
Andhra Pradesh,Kurnool,Kurnool,Onion,2025-09-29,2507.47,3365.79,2904.33,Low
Andhra Pradesh,Guntur,Guntur,Potato,2025-02-18,698.0,1194.3,856.55,Medium
Andhra Pradesh,East Godavari,Rajahmundry,Tomato,2025-11-29,1511.6,2514.06,1819.81,Medium
Andhra Pradesh,Prakasam,Ongole,Potato,2025-06-05,2006.24,2645.77,2349.77,Low
Andhra Pradesh,Guntur,Guntur,Wheat,2026-04-02,4554.84,6557.95,5184.71,High
Andhra Pradesh,Prakasam,Ongole,Maize,2024-11-03,3080.73,4239.14,3695.31,Medium
Andhra Pradesh,Guntur,Guntur,Groundnut,2023-08-13,1041.09,1660.47,1305.11,Medium
Andhra Pradesh,East Godavari,Rajahmundry,Rice,2025-10-07,3241.21,4734.31,3633.82,High
Andhra Pradesh,Prakasam,Ongole,Tomato,2023-06-21,1958.4,3087.1,2615.57,Medium
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Onion,2024-09-21,731.55,1154.55,1018.41,Low
Andhra Pradesh,East Godavari,Rajahmundry,Tomato,2025-03-31,4123.92,7307.98,5337.58,High
Andhra Pradesh,Krishna,Vijayawada,Banana,2025-03-28,2957.02,4689.34,3882.65,Medium
Andhra Pradesh,Krishna,Vijayawada,Chilli,2024-04-23,3944.06,5775.04,4928.55,Medium
Andhra Pradesh,Chittoor,Tirupati,Tomato,2024-08-12,217.42,398.93,291.36,Low
Andhra Pradesh,Prakasam,Ongole,Onion,2025-06-10,982.14,1538.59,1330.88,Medium
Andhra Pradesh,Chittoor,Tirupati,Banana,2024-01-03,2826.64,4553.34,3321.14,Low
Andhra Pradesh,Chittoor,Tirupati,Banana,2026-01-22,2802.7,4361.32,3850.12,Low
Andhra Pradesh,Guntur,Guntur,Onion,2025-11-09,2301.61,3943.44,3243.92,Low
Andhra Pradesh,East Godavari,Rajahmundry,Turmeric,2024-02-24,2200.47,3336.12,2576.57,High
Andhra Pradesh,Krishna,Vijayawada,Rice,2023-05-11,414.28,739.84,590.58,Low
Andhra Pradesh,East Godavari,Rajahmundry,Wheat,2025-11-12,2195.7,2763.7,2502.01,Low
Andhra Pradesh,Prakasam,Ongole,Cotton,2023-06-09,1523.18,2384.33,1935.49,Low
Andhra Pradesh,Chittoor,Tirupati,Maize,2024-07-28,2102.03,3166.24,2754.01,High
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Turmeric,2023-08-13,1217.31,1961.7,1469.88,Low
Andhra Pradesh,Prakasam,Ongole,Rice,2026-01-22,1165.93,1918.8,1386.71,Medium
Andhra Pradesh,Kurnool,Kurnool,Turmeric,2026-03-17,3795.04,5421.0,4818.91,Medium
Andhra Pradesh,Chittoor,Tirupati,Potato,2023-12-02,640.51,1033.45,753.55,High
Andhra Pradesh,Nellore,Nellore,Rice,2025-07-06,1636.25,2553.6,1859.54,Medium
Andhra Pradesh,Prakasam,Ongole,Rice,2024-09-06,927.76,1343.01,1123.94,Medium
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Groundnut,2024-05-13,2459.96,3768.93,2857.55,Medium
Andhra Pradesh,Nellore,Nellore,Potato,2023-05-19,3974.28,6654.74,4970.37,Medium
Andhra Pradesh,Chittoor,Tirupati,Rice,2024-10-24,1448.37,2413.1,1894.74,High
Andhra Pradesh,East Godavari,Rajahmundry,Potato,2024-04-08,1798.06,2985.52,2204.65,Medium
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Maize,2024-03-20,849.98,1317.29,1190.19,Medium
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Tomato,2023-08-06,1823.84,2327.93,2029.83,Low
Andhra Pradesh,Chittoor,Tirupati,Groundnut,2024-02-05,2609.43,4199.22,3040.64,Medium
Andhra Pradesh,Kurnool,Kurnool,Onion,2025-04-06,2837.47,4462.84,3491.76,High
Andhra Pradesh,Kurnool,Kurnool,Tomato,2024-04-01,5741.52,8077.42,6566.49,High
Andhra Pradesh,Prakasam,Ongole,Maize,2026-04-10,2811.06,4479.66,3273.18,Medium
Andhra Pradesh,East Godavari,Rajahmundry,Wheat,2023-10-09,967.8,1501.63,1094.44,Low
